# Gorgeous → JSW1 room renumbering map
# Generated by name-matching tmx/content/jsw-gorgeous against tmx/_in_progress/jetsetwilly1.
# Format: <gorgeous_id>\t<jsw1_id>\t<room_name>\t<note>
# Rows where gorgeous_id == jsw1_id are flagged 'no-op'.
# Use a two-step rename (move to a temp name first, then to the final id) to avoid
# clobbering rooms whose new id collides with another gorgeous room's old id.

001	001	The Off Licence	no-op
002	002	The Bridge	no-op
003	003	Under the MegaTree	no-op
004	004	At the Foot of the MegaTree	no-op
005	005	The Drive	no-op
006	006	The Security Guard	no-op
007	007	Entrance to Hades	no-op
008	008	Cuckoo's Nest	no-op
009	009	Inside the MegaTrunk	no-op
010	010	On a Branch Over the Drive	no-op
011	011	The Front Door	no-op
012	012	The Hall	no-op
013	013	Tree Top	no-op
014	014	Out on a limb	no-op
015	015	Rescue Esmerelda	no-op
016	016	I'm sure I've seen this before..	no-op
017	017	We must perform a Quirkafleeg	no-op
018	018	Up on the Battlements	no-op
019	019	On the Roof	no-op
058	020	The Forgotten Abbey	
059	021	Ballroom East	
020	022	Ballroom West	
021	023	To the Kitchens    Main Stairway	
022	024	The Kitchen	
023	025	West of Kitchen	
024	026	Cold Store	
025	027	East Wall Base	
026	028	The Chapel	
027	029	First Landing	
029	030	The Nightmare Room	
030	031	The Banyan Tree	
071	032	Swimming Pool	
031	033	Halfway up the East Wall	
032	034	The Bathroom	
033	035	Top Landing	
034	036	Master Bedroom	
035	037	A bit of tree	
036	038	Orangery	
037	039	Priests' Hole	
038	040	Emergency Generator	
039	041	Dr Jones will never believe this	
040	042	The Attic	
041	043	Under the Roof	
042	044	Conservatory Roof	
043	045	On top of the house	
044	046	Under the Drive	
045	047	Tree Root	
046	048	Nomen Luni	
047	049	The Wine Cellar	
049	050	Watch Tower	
048	051	Tool Shed	
050	052	Back Stairway	
051	053	Back Door	
052	054	West Wing	
053	055	West Bedroom	
054	056	West Wing Roof	
055	057	Above the West Bedroom	
028	058	The Beach	
057	059	The Yacht	
056	060	The Bow	
